"WEEK","DATE","STATE","SITE","RRV","TRAP","APIS","ANOE","ACRA","AHEL","APHI","AADJ","CELA","CHIP","CHAE","CHAI","CPOP","ERIO","FORD","HATR","HPRU","HPAL","IZYP","LPSE","MEUP","MTIL","MPER","PEMP","PHUM","PLEO","RSTA","RMAI","RPAD","SGRA","SELE","SAVE","TRIE","TTRI","TULM","UROL","UNID","TOTAL","APUL","DKAN","THRI","MPUN","TYPE","SUBS","ASPI","RRUF","ANAS","GULM","MDIS","TETR","CAEG","MVEN","PPCA","PPRA","PPTR","PSMI","AFAB","AGLY","AGOS","APRU","DACT","HSPI","HLAC","HYPE","MACS","RPOR","RNYM","AMAI","AMAC"
10,1998-08-31,"MN","BAKE","Y","1",0,NA,0,45,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,1,0,NA,0,4,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1998-08-31,"MN","BAKE","Y","1",0,NA,0,47,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,1,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1998-08-04,"ND","CAND","Y","2",0,NA,0,5,NA,NA,0,0,NA,NA,0,NA,NA,0,0,5,NA,20,0,NA,3,0,NA,NA,NA,19,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-11,"ND","CAND","Y","1",1,NA,0,27,NA,NA,0,0,NA,NA,0,NA,NA,0,0,1,NA,9,0,NA,2,0,NA,NA,NA,3,0,0,0,0,0,0,NA,0,7,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-11,"ND","CAND","Y","2",1,NA,0,31,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,3,0,NA,4,0,NA,NA,NA,2,1,0,0,0,0,0,NA,0,8,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-11,"ND","CAND","Y","3",0,NA,0,30,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,14,0,NA,1,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,6,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-11,"ND","CAND","Y","4",0,NA,0,33,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,6,0,NA,0,0,NA,NA,NA,0,1,0,0,0,0,0,NA,0,10,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-11,"ND","CAND","Y","1",0,NA,0,47,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-19,"ND","CAND","Y","2",0,NA,0,20,NA,NA,0,0,NA,NA,0,NA,NA,0,0,1,NA,2,0,NA,5,0,NA,NA,NA,1,1,0,0,0,0,0,NA,0,20,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-19,"ND","CAND","Y","1",0,NA,0,35,NA,NA,0,0,NA,NA,0,NA,NA,0,0,1,NA,3,0,NA,0,0,NA,NA,NA,1,0,0,0,0,0,0,NA,0,10,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
